,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
2614,591.02,,,0.0,9000.0,592.14,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,602.02
2615,592.25,,,0.0,9000.0,593.27,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,603.25
2616,593.52,,,0.0,9000.0,594.99,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,604.52
2617,595.51,,,0.0,9000.0,595.67,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,606.51
2618,595.71,,,0.0,9000.0,599.64,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,606.71
2619,599.83,,,0.0,9000.0,602.04,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,610.83
2620,602.32,,,0.0,,603.36,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,613.32
2621,603.66,,,0.0,,605.06,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,614.66
2622,605.36,,,0.0,,605.38,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,616.36
2623,605.42,,,0.0,,605.88,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,616.42
2624,606.03,,,0.0,,606.07,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,617.03
2625,606.12,,,0.0,,608.0,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,617.12
2626,608.43,,,0.0,,608.57,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,619.43
2627,608.63,,,0.0,,609.69,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,619.63
2628,619.07,,,0.0,,619.12,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,630.07
2629,619.27,,,0.0,,625.65,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,,630.27
