,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
46,./data/2022-05-09_11h19m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-09_11h19m_Subject 2.4.txt,05/09/22,05/09/22,2.4,Pilot of Pilot,Cage 2,2,11:19:47,12:24:58,levelNP_CS_reward_laserepochON1st_noshock,2
47,./data/2022-05-07_08h53m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-07_08h53m_Subject 1.4.txt,05/07/22,05/07/22,1.4,Pilot of Pilot,Cage 1,3,08:53:46,10:21:47,levelNP_CS_reward_laserepochON1st_noshock,1
48,./data/2022-05-11_10h27m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-11_10h27m_Subject 2.1.txt,05/11/22,05/11/22,2.1,Pilot of Pilot,Cage 2,1,10:27:24,11:32:16,levelNP_CS_reward_laserepochON1st_noshock,2
49,./data/2022-05-09_09h48m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-09_09h48m_Subject 1.4.txt,05/09/22,05/09/22,1.4,Pilot of Pilot,Cage 1,1,09:48:24,11:00:54,levelNP_CS_reward_laserepochON1st_noshock,1
50,./data/2022-05-06_08h37m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-06_08h37m_Subject 2.3.txt,05/06/22,05/06/22,2.3,Pilot of Pilot,Cage 1,1,08:37:09,09:53:25,levelNP_CS_reward_laserepochON1st_noshock,1
51,./data/2022-05-10_15h58m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-10_15h58m_Subject 2.2.txt,05/10/22,05/11/22,2.2,Pilot of Pilot,Cage 1,1,15:58:37,10:11:07,levelNP_CS_reward_laserepochON1st_noshock,1
52,./data/2022-05-04_08h43m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-04_08h43m_Subject 2.2.txt,05/04/22,05/04/22,2.2,Pilot of Pilot,Cage 1,2,08:43:01,09:54:22,levelNP_CS_reward_laserepochON1st_noshock,1
53,./data/2022-05-16_11h28m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-16_11h28m_Subject 2.4.txt,05/16/22,05/16/22,2.4,Pilot of Pilot,Cage 2,2,11:28:19,12:35:20,levelNP_CS_reward_laserepochON1st_noshock,2
54,./data/2022-05-09_09h49m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-09_09h49m_Subject 2.3.txt,05/09/22,05/09/22,2.3,Pilot of Pilot,Cage 1,4,09:49:20,11:00:54,levelNP_CS_reward_laserepochON1st_noshock,1
55,./data/2022-05-08_09h49m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-08_09h49m_Subject 2.2.txt,05/08/22,05/08/22,2.2,Pilot of Pilot,Cage 1,2,09:49:59,10:52:52,levelNP_CS_reward_laserepochON1st_noshock,1
56,./data/2022-05-12_10h22m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-12_10h22m_Subject 1.2.txt,05/12/22,05/12/22,1.2,Pilot of Pilot,Cage 2,3,10:22:56,11:27:32,levelNP_CS_reward_laserepochON1st_noshock,2
57,./data/2022-05-08_11h14m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-08_11h14m_Subject 1.2.txt,05/08/22,05/08/22,1.2,Pilot of Pilot,Cage 2,3,11:14:36,12:19:20,levelNP_CS_reward_laserepochON1st_noshock,2
58,./data/2022-05-07_10h47m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-07_10h47m_Subject 1.3.txt,05/07/22,05/07/22,1.3,Pilot of Pilot,Cage 2,3,10:47:06,11:47:58,levelNP_CS_reward_laserepochON1st_noshock,2
59,./data/2022-05-09_09h49m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-09_09h49m_Subject 2.2.txt,05/09/22,05/09/22,2.2,Pilot of Pilot,Cage 1,3,09:49:05,11:00:54,levelNP_CS_reward_laserepochON1st_noshock,1
60,./data/2022-05-10_15h58m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-10_15h58m_Subject 2.3.txt,05/10/22,05/11/22,2.3,Pilot of Pilot,Cage 1,2,15:58:37,10:11:07,levelNP_CS_reward_laserepochON1st_noshock,1
61,./data/2022-05-11_10h27m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-11_10h27m_Subject 1.2.txt,05/11/22,05/11/22,1.2,Pilot of Pilot,Cage 2,2,10:27:24,11:32:16,levelNP_CS_reward_laserepochON1st_noshock,2
62,./data/2022-05-05_10h52m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-05_10h52m_Subject 1.4.txt,05/05/22,05/05/22,1.4,Pilot of Pilot,Cage 1,1,10:52:04,12:00:26,levelNP_CS_reward_laserepochON1st_noshock,1
63,./data/2022-05-07_08h53m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-07_08h53m_Subject 2.3.txt,05/07/22,05/07/22,2.3,Pilot of Pilot,Cage 1,2,08:53:36,10:21:47,levelNP_CS_reward_laserepochON1st_noshock,1
64,./data/2022-05-04_10h11m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-04_10h11m_Subject 1.3.txt,05/04/22,05/04/22,1.3,Pilot of Pilot,Cage 2,4,10:11:55,11:18:44,levelNP_CS_reward_laserepochON1st_noshock,2
65,./data/2022-05-08_09h49m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-08_09h49m_Subject 1.1.txt,05/08/22,05/08/22,1.1,Pilot of Pilot,Cage 1,1,09:49:59,10:52:52,levelNP_CS_reward_laserepochON1st_noshock,1
66,./data/2022-05-07_10h47m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-07_10h47m_Subject 2.4.txt,05/07/22,05/07/22,2.4,Pilot of Pilot,Cage 2,4,10:47:06,11:47:58,levelNP_CS_reward_laserepochON1st_noshock,2
67,./data/2022-05-06_08h37m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-06_08h37m_Subject 1.1.txt,05/06/22,05/06/22,1.1,Pilot of Pilot,Cage 1,3,08:37:09,09:53:25,levelNP_CS_reward_laserepochON1st_noshock,1
68,./data/2022-05-06_08h37m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-06_08h37m_Subject 1.4.txt,05/06/22,05/06/22,1.4,Pilot of Pilot,Cage 1,2,08:37:09,09:53:25,levelNP_CS_reward_laserepochON1st_noshock,1
69,./data/2022-05-08_11h14m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-08_11h14m_Subject 2.1.txt,05/08/22,05/08/22,2.1,Pilot of Pilot,Cage 2,2,11:14:36,12:19:20,levelNP_CS_reward_laserepochON1st_noshock,2
70,./data/2022-05-10_15h58m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-10_15h58m_Subject 1.4.txt,05/10/22,05/11/22,1.4,Pilot of Pilot,Cage 1,3,15:58:37,10:11:07,levelNP_CS_reward_laserepochON1st_noshock,1
71,./data/2022-05-16_11h28m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-16_11h28m_Subject 1.2.txt,05/16/22,05/16/22,1.2,Pilot of Pilot,Cage 2,4,11:28:34,12:35:20,levelNP_CS_reward_laserepochON1st_noshock,2
72,./data/2022-05-11_15h25m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-11_15h25m_Subject 1.1.txt,05/11/22,05/12/22,1.1,Pilot of Pilot,Cage 1,1,15:25:43,10:08:20,levelNP_CS_reward_laserepochON1st_noshock,1
73,./data/2022-05-11_10h27m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-11_10h27m_Subject 1.3.txt,05/11/22,05/11/22,1.3,Pilot of Pilot,Cage 2,3,10:27:24,11:32:16,levelNP_CS_reward_laserepochON1st_noshock,2
74,./data/2022-05-05_12h23m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-05_12h23m_Subject 2.4.txt,05/05/22,05/05/22,2.4,Pilot of Pilot,Cage 2,2,12:23:04,13:25:29,levelNP_CS_reward_laserepochON1st_noshock,2
75,./data/2022-05-16_09h46m_Subject 2.3.txt,C:\MED-PC\Data\2022-05-16_09h46m_Subject 2.3.txt,05/16/22,05/16/22,2.3,Pilot of Pilot,Cage 1,4,09:46:43,10:49:24,levelNP_CS_reward_laserepochON1st_noshock,1
